CountryCode;PropertyTypeCode;AttributeNameKey;Order
GB;Leisure.Hotel;Area;0
GB;Leisure.Hotel;LandArea;1
GB;Leisure.Hotel;GuestRooms;2
GB;Leisure.Hotel;FunctionRooms;3
GB;Leisure.Hotel;CarParkingSpaces;4
GB;House;Bedrooms;0
GB;House;Receptions;1
GB;House;Bathrooms;2
GB;House;Area;3
GB;House;LandArea;4
GB;House;CarParkingSpaces;5
GB;Flat;Bedrooms;0
GB;Flat;Receptions;1
GB;Flat;Bathrooms;2
GB;Flat;Area;3
GB;Flat;LandArea;4
GB;Flat;CarParkingSpaces;5
GB;Bungalow;Bedrooms;0
GB;Bungalow;Receptions;1
GB;Bungalow;Bathrooms;2
GB;Bungalow;Area;3
GB;Bungalow;LandArea;4
GB;Bungalow;CarParkingSpaces;5
GB;Maisonette;Bedrooms;0
GB;Maisonette;Receptions;1
GB;Maisonette;Bathrooms;2
GB;Maisonette;Area;3
GB;Maisonette;CarParkingSpaces;4
GB;Development Plot;LandArea;0
GB;Houseboat;Bedrooms;0
GB;Houseboat;Receptions;1
GB;Houseboat;Bathrooms;2
GB;Houseboat;Area;3
GB;Houseboat;CarParkingSpaces;4
